ExperimentID,ID,CGn,EGn,CGm,CGSD,EGm,EGSD,Type,d,Vd,SEd,Jdf,g,Vg,SEg
95,182,10,10,0.5,0.5,1.4,0.8,LT,1.34915704,0.245505618,0.495485235,0.957746479,1.292150405,0.22519698,0.474549239
95,183,10,10,1.3,0.5,2.8,1.1,LT,1.755617208,0.277054795,0.526359948,0.957746479,1.681436199,0.254136356,0.504119387
96,184,11,11,2.3,2,6.7,1.3,SR,2.608624334,0.336475475,0.580065061,0.962025316,2.50956265,0.311405599,0.558037274
96,185,11,11,5.4,2.5,8.1,2.1,SR,1.169499821,0.212902951,0.461414077,0.962025316,1.125088435,0.197040129,0.443892024
96,186,11,11,3.6,0.8,3,1,CL,-0.662589156,0.191796009,0.437945212,0.962025316,-0.637427543,0.177505808,0.421314381
96,190,11,11,2,1.4,3.7,1.2,ST,1.303840481,0.220454545,0.469525873,0.962025316,1.254327551,0.204029075,0.451695777
96,191,11,11,4.5,0.5,3.7,1.2,CL,-0.870285269,0.199031737,0.446129732,0.962025316,-0.837236461,0.184202422,0.429188096
97,194,12,12,4.2,1.3,3.8,1.3,CL,-0.307692308,0.168639053,0.410656856,0.965517241,-0.297082228,0.157209296,0.396496275
97,195,12,12,9.3,2.6,8.9,3.5,SR,-0.129742999,0.167017359,0.408677574,0.965517241,-0.125269102,0.155697514,0.394585244
97,196,12,12,6.8,2,7.8,2.8,SR,0.410997468,0.170185811,0.41253583,0.965517241,0.396825142,0.15865122,0.398310456
97,200,12,12,5.5,1.1,4.1,1,CL,-1.331824184,0.20361991,0.451242628,0.965517241,-1.285899212,0.189819274,0.435682538
97,201,12,12,1.7,1.8,3.5,1.7,ST,1.02815186,0.188689505,0.434384053,0.965517241,0.992698348,0.175900799,0.419405292
97,202,12,12,1.6,0.8,2.6,1.1,ST,1.03975049,0.189189189,0.434958836,0.965517241,1.003897025,0.176366616,0.419960256
97,207,12,12,3.6,0.8,4,1,CL,0.441726104,0.170731707,0.413196935,0.965517241,0.42649417,0.159160117,0.398948765
97,208,12,12,7,2.1,6.7,2.5,ST,-0.129944425,0.167018449,0.408678907,0.965517241,-0.125463582,0.15569853,0.394586531
98,211,41,43,0.54,0.16,0.52,0.18,SR,-0.117276485,0.047727926,0.218467218,0.990825688,-0.116200554,0.046856201,0.216462932
98,212,41,43,0.47,0.16,0.52,0.19,ST,0.284081515,0.048126429,0.219377366,0.990825688,0.281475262,0.047247426,0.21736473
98,213,41,43,0.55,0.18,0.45,0.19,LR,-0.539987646,0.049381693,0.22221992,0.990825688,-0.535033631,0.048479763,0.220181205
98,214,41,43,0.51,0.17,0.44,0.17,LT,-0.411764706,0.048655285,0.22057943,0.990825688,-0.407987048,0.047766623,0.218555766
99,215,24,21,50.83,22.83,54.29,16.9,SR,0.17053897,0.089608865,0.299347398,0.98245614,0.167547058,0.086492274,0.294095689
99,216,24,21,69.04,28.15,89.57,16.63,ST,0.873431195,0.097762182,0.312669445,0.98245614,0.858107841,0.094362019,0.307184016
100,217,10,10,9.6,2.99,10.6,2.17,ST,0.382793523,0.203663272,0.451290674,0.957746479,0.366619149,0.186815904,0.432222054
100,218,10,10,6,2.58,7.3,1.06,ST,0.659126165,0.210861183,0.459196235,0.957746479,0.631275763,0.193418391,0.439793577
100,219,10,10,4.9,2.42,5.7,2,ST,0.360367672,0.203246621,0.450828816,0.957746479,0.345140869,0.186433719,0.431779711
101,220,10,10,9,3.37,9.7,3.86,ST,0.193194439,0.200933102,0.448255622,0.957746479,0.185031293,0.184311578,0.429315243
101,221,10,10,5.6,2.37,7.3,1.49,ST,0.858793989,0.218438178,0.467373703,0.957746479,0.822506919,0.200368604,0.447625518
101,222,10,10,4.3,2.98,6.3,2.67,ST,0.706901368,0.212492739,0.460969347,0.957746479,0.677032296,0.194914982,0.441491769
102,223,25,25,5.64,3.6,6.84,4.11,ST,0.310605256,0.080964756,0.284543066,0.984293194,0.305726639,0.078441335,0.280073803
102,224,25,25,5.88,4,7.2,3.35,ST,0.357787304,0.081280118,0.285096681,0.984293194,0.352167608,0.078746868,0.280618723
102,225,25,25,3.92,3.41,4.32,3.18,ST,0.121322186,0.080147191,0.283102792,0.984293194,0.119416601,0.077649251,0.278656151
